cross_section,eta_ch,Ti_init,tau_E_s,tau_ie_s,G,max_inst_Pfus_Pbrems,transient_window_s
TB,0.0,691,0.1701,3.810,0.00565,2.880,0.333
TB,0.0,691,0.3455,3.810,0.01103,2.729,0.652
TB,0.0,691,0.7017,3.810,0.02121,2.728,1.270
TB,0.0,691,1.4251,3.810,0.03992,2.728,2.467
TB,0.0,691,2.8943,3.810,0.07262,2.728,4.774
TB,0.0,691,5.8780,3.810,0.12465,2.728,9.105
TB,0.0,691,11.9378,3.810,0.19317,2.728,16.507
TB,0.0,691,24.2446,3.810,0.25938,2.728,26.766
TB,0.0,691,49.2388,3.810,0.30507,2.728,37.318
TB,0.0,691,100.0000,3.810,0.33040,2.728,45.555
TB,0.0,745,0.0100,4.257,0.00035,3.280,0.022
TB,0.0,745,0.0203,4.257,0.00070,3.234,0.044
TB,0.0,745,0.0412,4.257,0.00141,3.153,0.088
TB,0.0,745,0.0838,4.257,0.00281,3.027,0.175
TB,0.0,745,0.1701,4.257,0.00557,2.853,0.346
TB,0.0,745,0.3455,4.257,0.01089,2.660,0.678
TB,0.0,745,0.7017,4.257,0.02096,2.634,1.324
TB,0.0,745,1.4251,4.257,0.03948,2.634,2.576
TB,0.0,745,2.8943,4.257,0.07182,2.634,4.995
TB,0.0,745,5.8780,4.257,0.12292,2.634,9.531
TB,0.0,745,11.9378,4.257,0.18913,2.634,17.238
TB,0.0,745,24.2446,4.257,0.25167,2.634,27.793
TB,0.0,745,49.2388,4.257,0.29408,2.634,38.545
TB,0.0,745,100.0000,4.257,0.31743,2.634,46.916
TB,0.0,800,0.0100,4.716,0.00034,3.278,0.023
TB,0.0,800,0.0203,4.716,0.00069,3.230,0.046
TB,0.0,800,0.0412,4.716,0.00139,3.146,0.091
TB,0.0,800,0.0838,4.716,0.00277,3.014,0.181
TB,0.0,800,0.1701,4.716,0.00548,2.830,0.358
TB,0.0,800,0.3455,4.716,0.01073,2.615,0.703
TB,0.0,800,0.7017,4.716,0.02067,2.542,1.374
TB,0.0,800,1.4251,4.716,0.03897,2.542,2.677
TB,0.0,800,2.8943,4.716,0.07087,2.542,5.198
TB,0.0,800,5.8780,4.716,0.12094,2.542,9.923
TB,0.0,800,11.9378,4.716,0.18485,2.542,17.900
TB,0.0,800,24.2446,4.716,0.24405,2.542,28.717
TB,0.0,800,49.2388,4.716,0.28363,2.542,39.657
