Ti,tau,f_B,r_ash,eta_ch,f_tail,eta_drive,f_imp,xi_sync,Pnet_Pbrems
540.6931,0.7383,0.2196,0.0020,0.4859,0.5149,0.7761,0.0160,0.0250,0.0661
437.9633,0.9146,0.1778,0.0065,0.4938,0.5687,0.7249,0.0147,0.0438,0.0264
557.4167,0.9305,0.2575,0.0021,0.4655,0.5926,0.3864,0.0041,0.0360,0.0487
479.2030,0.6694,0.2419,0.0116,0.4753,0.5785,0.7982,0.0024,0.0711,0.0545
387.3941,0.9759,0.1573,0.0078,0.4952,0.5802,0.7564,0.0016,0.0227,0.0462
585.8758,0.7331,0.2529,0.0063,0.4461,0.5711,0.6428,0.0143,0.0063,0.0590
593.4063,0.8778,0.1672,0.0137,0.4616,0.5310,0.6996,0.0066,0.0045,0.0067
534.6777,0.7999,0.2605,0.0072,0.4785,0.5734,0.5976,0.0031,0.0774,0.0411
408.0247,0.7539,0.1665,0.0045,0.4960,0.5569,0.7993,0.0085,0.0034,0.0788
539.5992,0.6679,0.1704,0.0094,0.3963,0.5693,0.7504,0.0007,0.0035,0.0086
456.7605,0.8848,0.2669,0.0022,0.4749,0.5550,0.7553,0.0081,0.0529,0.0282
597.0939,0.7863,0.2555,0.0026,0.4747,0.5914,0.3991,0.0148,0.0418,0.0253
580.9233,0.7073,0.1834,0.0087,0.4190,0.5726,0.7341,0.0067,0.0304,0.0264
572.5223,0.8524,0.2270,0.0143,0.4442,0.5985,0.5980,0.0135,0.0015,0.0552
477.4968,0.8018,0.1797,0.0044,0.4407,0.5537,0.6895,0.0041,0.0282,0.0079
553.6767,0.6418,0.1764,0.0047,0.4871,0.5049,0.7623,0.0020,0.0464,0.0533
558.2936,0.8936,0.2530,0.0094,0.4127,0.5921,0.5137,0.0007,0.0118,0.0054
549.4292,0.9897,0.1955,0.0033,0.4821,0.5718,0.5538,0.0178,0.0566,0.0405
523.9267,0.8283,0.1863,0.0136,0.4692,0.5318,0.7771,0.0008,0.0295,0.0328
545.2972,0.8420,0.1928,0.0059,0.4198,0.5648,0.6912,0.0037,0.0098,0.0382
458.5767,0.9270,0.2046,0.0072,0.4412,0.5773,0.7091,0.0058,0.0114,0.0400
584.1763,0.7784,0.1903,0.0128,0.4818,0.5639,0.5967,0.0121,0.0398,0.0323
482.1094,0.8782,0.2360,0.0212,0.4771,0.5894,0.6907,0.0004,0.0665,0.0179
547.4465,0.7499,0.2298,0.0011,0.4852,0.5527,0.7135,0.0057,0.1511,0.0314
594.8145,0.9975,0.2785,0.0192,0.4621,0.5850,0.6281,0.0089,0.0108,0.0500
471.8832,0.6571,0.2611,0.0033,0.4657,0.5675,0.7841,0.0187,0.0193,0.0331
586.7567,0.7427,0.2575,0.0107,0.4246,0.5824,0.7665,0.0108,0.0206,0.0378
569.0845,0.8500,0.2471,0.0053,0.4868,0.5815,0.6467,0.0049,0.0659,0.1367
542.7969,0.6202,0.2406,0.0142,0.4696,0.5468,0.6311,0.0037,0.0078,0.0185
519.3824,0.8060,0.1444,0.0014,0.4842,0.5836,0.6276,0.0042,0.0279,0.0705
436.2571,0.8698,0.2400,0.0122,0.4649,0.5752,0.7413,0.0118,0.0021,0.0274
567.8365,0.9650,0.2521,0.0017,0.4240,0.5589,0.7861,0.0190,0.0002,0.0313
585.7092,0.9734,0.2088,0.0104,0.4845,0.5917,0.6862,0.0038,0.1703,0.0490
403.0766,0.9807,0.2636,0.0013,0.4973,0.5689,0.7181,0.0005,0.0827,0.0382
501.3952,0.9447,0.1692,0.0109,0.4835,0.5601,0.6473,0.0060,0.0076,0.0447
592.3992,0.7263,0.2564,0.0086,0.4869,0.5581,0.6271,0.0055,0.0487,0.0850
584.7079,0.5160,0.2056,0.0032,0.4391,0.5967,0.7440,0.0097,0.0317,0.1037
551.0678,0.6302,0.2369,0.0138,0.4794,0.5699,0.7886,0.0039,0.0493,0.0958
429.7427,0.8071,0.1793,0.0141,0.4976,0.5801,0.6696,0.0147,0.0162,0.0078
524.7784,0.8385,0.2273,0.0042,0.4925,0.5431,0.7431,0.0027,0.0242,0.1444
527.8152,0.9972,0.2245,0.0021,0.4297,0.5974,0.6349,0.0187,0.0521,0.0095
539.4814,0.9012,0.2769,0.0083,0.4873,0.5781,0.4406,0.0004,0.0267,0.0512
489.1584,0.7108,0.2210,0.0075,0.4929,0.5977,0.7782,0.0071,0.0060,0.1991
568.0315,0.8210,0.2290,0.0060,0.4625,0.5953,0.6812,0.0159,0.0779,0.0658
589.6618,0.6388,0.2410,0.0044,0.4672,0.5870,0.7136,0.0125,0.0228,0.1469
496.3186,0.8141,0.2201,0.0037,0.4806,0.5684,0.4902,0.0125,0.0176,0.0150
528.3668,0.5279,0.2647,0.0091,0.4994,0.5884,0.7456,0.0038,0.0987,0.0436
441.7206,0.7851,0.2436,0.0047,0.4839,0.5343,0.7844,0.0107,0.0526,0.0050
530.3989,0.9614,0.2778,0.0030,0.4762,0.5489,0.7108,0.0199,0.0339,0.0181
541.9451,0.6086,0.2973,0.0051,0.4931,0.5278,0.6732,0.0006,0.0129,0.0408
420.2521,0.8286,0.1588,0.0023,0.4865,0.5361,0.7663,0.0103,0.0037,0.0298
485.1723,0.9786,0.1999,0.0286,0.4876,0.5828,0.6140,0.0016,0.0038,0.0221
578.7387,0.8186,0.2489,0.0150,0.4815,0.5773,0.7587,0.0070,0.1441,0.0048
575.2371,0.8770,0.1384,0.0101,0.4949,0.5859,0.7121,0.0111,0.0406,0.0382
544.6482,0.6818,0.2801,0.0011,0.4437,0.5894,0.7758,0.0018,0.0867,0.0640
511.4710,0.7462,0.2882,0.0124,0.4760,0.5880,0.6833,0.0106,0.0156,0.0447
582.6924,0.5889,0.2557,0.0038,0.4350,0.5329,0.7310,0.0040,0.0434,0.0073
592.5626,0.8626,0.2024,0.0104,0.4776,0.5552,0.4826,0.0025,0.0102,0.0612
555.4439,0.6510,0.2643,0.0112,0.4714,0.5435,0.7655,0.0099,0.0320,0.0293
534.8350,0.9576,0.1615,0.0073,0.4990,0.5416,0.7862,0.0091,0.0617,0.0345
568.3614,0.7360,0.1814,0.0011,0.4784,0.5788,0.4474,0.0070,0.0294,0.0354
517.5639,0.5423,0.2797,0.0070,0.4646,0.5444,0.7879,0.0070,0.0063,0.0183
514.1501,0.7449,0.1523,0.0042,0.5000,0.5963,0.7666,0.0010,0.0434,0.1677
577.8325,0.8758,0.2394,0.0019,0.4710,0.5981,0.7851,0.0006,0.0129,0.2684
583.4541,0.9799,0.2383,0.0093,0.4910,0.5651,0.5147,0.0198,0.0010,0.0793
499.5044,0.7320,0.2062,0.0049,0.4652,0.5517,0.7554,0.0040,0.0989,0.0186
564.7718,0.7958,0.1825,0.0100,0.4976,0.5453,0.7351,0.0127,0.0225,0.0878
537.2195,0.5995,0.2297,0.0020,0.4418,0.5463,0.6931,0.0105,0.0154,0.0316
574.3549,0.4893,0.2216,0.0130,0.4739,0.5527,0.7973,0.0017,0.0870,0.0161
567.1803,0.8735,0.2347,0.0177,0.4597,0.5820,0.7096,0.0117,0.0604,0.0119
549.5916,0.7659,0.2632,0.0061,0.4904,0.5728,0.5420,0.0104,0.0204,0.0774
596.8213,0.9331,0.2034,0.0069,0.4976,0.5845,0.6922,0.0172,0.0030,0.1987
521.0141,0.8666,0.1803,0.0081,0.4655,0.5908,0.7984,0.0059,0.0818,0.0707
569.9909,0.7542,0.2410,0.0186,0.4972,0.5958,0.6203,0.0076,0.0864,0.0571
499.3093,0.8697,0.2750,0.0035,0.4296,0.5690,0.7117,0.0008,0.0261,0.0236
556.3508,0.6654,0.2740,0.0203,0.4947,0.5312,0.7859,0.0068,0.0268,0.0140
536.4169,0.7313,0.2074,0.0028,0.4338,0.5888,0.4912,0.0066,0.0069,0.0231
451.7175,0.6312,0.2384,0.0100,0.4689,0.5786,0.6954,0.0039,0.0285,0.0221
424.3948,0.7426,0.2851,0.0020,0.4620,0.5796,0.7335,0.0017,0.0075,0.0532
503.5287,0.6718,0.1914,0.0037,0.4893,0.5943,0.7876,0.0139,0.1768,0.0156
556.1948,0.5634,0.2489,0.0016,0.4515,0.5704,0.6025,0.0119,0.0395,0.0025
465.0216,0.9343,0.1690,0.0179,0.4842,0.5890,0.7106,0.0065,0.0288,0.0252
475.1878,0.7671,0.2512,0.0014,0.4997,0.5216,0.6460,0.0139,0.0353,0.0054
497.0416,0.9408,0.2701,0.0058,0.4919,0.5616,0.6035,0.0155,0.0541,0.0058
448.2684,0.9523,0.2206,0.0051,0.4757,0.5644,0.6995,0.0028,0.1043,0.0007
540.2035,0.6869,0.2133,0.0108,0.4771,0.5831,0.6710,0.0077,0.0655,0.0644
481.2028,0.8148,0.2260,0.0080,0.4764,0.5723,0.7268,0.0070,0.0858,0.0313
561.8151,0.5332,0.1979,0.0059,0.4546,0.5840,0.6329,0.0054,0.0490,0.0306
501.9956,0.9105,0.2352,0.0015,0.4770,0.5597,0.6359,0.0021,0.0450,0.0943
587.9408,0.5720,0.2290,0.0163,0.4949,0.5866,0.6497,0.0008,0.0291,0.1263
583.3641,0.7749,0.2024,0.0322,0.4919,0.5938,0.6272,0.0011,0.0622,0.0276
538.3875,0.8170,0.2760,0.0050,0.4503,0.5609,0.5609,0.0061,0.0226,0.0037
586.0765,0.7981,0.2627,0.0044,0.4800,0.4939,0.7556,0.0183,0.0131,0.0043
597.4386,0.4507,0.2509,0.0038,0.4892,0.5833,0.5580,0.0013,0.0338,0.0239
578.6659,0.9864,0.1574,0.0149,0.4960,0.5457,0.5702,0.0008,0.0160,0.0299
476.6069,0.6679,0.1437,0.0065,0.4982,0.5751,0.7174,0.0116,0.0246,0.0247
503.7019,0.9559,0.2980,0.0080,0.4511,0.5843,0.5883,0.0043,0.0034,0.0209
550.9347,0.8453,0.2743,0.0070,0.4812,0.5780,0.6212,0.0130,0.0817,0.0218
437.0813,0.6253,0.1671,0.0035,0.4747,0.5706,0.7801,0.0028,0.0908,0.0065
563.6244,0.5784,0.2601,0.0132,0.4883,0.5599,0.5853,0.0082,0.0157,0.0121
568.0355,0.9260,0.2408,0.0071,0.4799,0.5173,0.7986,0.0113,0.0311,0.0457
423.6756,0.9714,0.1850,0.0185,0.4600,0.5920,0.7588,0.0010,0.0029,0.0361
518.4920,0.6719,0.2333,0.0039,0.4558,0.5628,0.6536,0.0115,0.0319,0.0306
593.8498,0.7394,0.2101,0.0111,0.4882,0.5682,0.5556,0.0002,0.1083,0.0353
476.5761,0.6487,0.2068,0.0133,0.4834,0.5520,0.7598,0.0064,0.0163,0.0534
581.1502,0.6587,0.1799,0.0033,0.4885,0.5036,0.7254,0.0041,0.0039,0.0985
