cross_section,f_B,Ti_keV,PF_over_PB
TB,0.3000,275.0,0.91187
TB,0.3000,300.0,0.93425
TB,0.3000,325.0,0.94847
TB,0.3000,350.0,0.95642
TB,0.3000,375.0,0.96002
TB,0.3000,400.0,0.96054
TB,0.3000,425.0,0.95892
TB,0.3000,450.0,0.95583
TB,0.3000,475.0,0.95175
TB,0.3000,500.0,0.94720
TB,0.3000,525.0,0.94207
TB,0.3000,550.0,0.93669
TB,0.3000,575.0,0.93117
TB,0.3000,600.0,0.92556
wang,0.0500,150.0,0.54026
wang,0.0500,175.0,0.63572
wang,0.0500,200.0,0.70438
wang,0.0500,225.0,0.75127
wang,0.0500,250.0,0.78161
wang,0.0500,275.0,0.79907
wang,0.0500,300.0,0.80865
wang,0.0500,325.0,0.81283
wang,0.0500,350.0,0.81249
wang,0.0500,375.0,0.80951
wang,0.0500,400.0,0.80489
wang,0.0500,425.0,0.79935
wang,0.0500,450.0,0.79334
wang,0.0500,475.0,0.78721
wang,0.0500,500.0,0.78116
wang,0.0500,525.0,0.77531
wang,0.0500,550.0,0.76974
wang,0.0500,575.0,0.76447
wang,0.0500,600.0,0.75952
wang,0.0625,150.0,0.58268
wang,0.0625,175.0,0.68749
wang,0.0625,200.0,0.76292
wang,0.0625,225.0,0.81515
wang,0.0625,250.0,0.84944
wang,0.0625,275.0,0.87126
wang,0.0625,300.0,0.88289
wang,0.0625,325.0,0.88793
wang,0.0625,350.0,0.88770
wang,0.0625,375.0,0.88539
wang,0.0625,400.0,0.88122
wang,0.0625,425.0,0.87595
wang,0.0625,450.0,0.87012
wang,0.0625,475.0,0.86409
wang,0.0625,500.0,0.85809
wang,0.0625,525.0,0.85227
wang,0.0625,550.0,0.84671
wang,0.0625,575.0,0.84145
wang,0.0625,600.0,0.83649
wang,0.0750,150.0,0.60994
wang,0.0750,175.0,0.72009
wang,0.0750,200.0,0.80161
wang,0.0750,225.0,0.85779
wang,0.0750,250.0,0.89511
wang,0.0750,275.0,0.91851
wang,0.0750,300.0,0.93255
wang,0.0750,325.0,0.93890
wang,0.0750,350.0,0.94043
wang,0.0750,375.0,0.93876
wang,0.0750,400.0,0.93444
wang,0.0750,425.0,0.92958
wang,0.0750,450.0,0.92407
wang,0.0750,475.0,0.91830
wang,0.0750,500.0,0.91250
wang,0.0750,525.0,0.90686
wang,0.0750,550.0,0.90145
wang,0.0750,575.0,0.89633
wang,0.0750,600.0,0.89150
wang,0.0875,150.0,0.62659
wang,0.0875,175.0,0.74126
wang,0.0875,200.0,0.82599
wang,0.0875,225.0,0.88506
wang,0.0875,250.0,0.92468
wang,0.0875,275.0,0.94989
wang,0.0875,300.0,0.96532
wang,0.0875,325.0,0.97281
wang,0.0875,350.0,0.97525
wang,0.0875,375.0,0.97430
wang,0.0875,400.0,0.97117
wang,0.0875,425.0,0.96617
wang,0.0875,450.0,0.96104
